73 - 81KG (Half-Middleweight) Judo,Judo
57 - 63KG Judo,Judo
1KM Pursuit Cycling,Cycling
48KG (Light Flywieght) Boxing,Boxing
Heptathlon Athletics,Athletics
Moving Bird Target 33M Teams Archery,Archery
200M Obstacle Event Aquatics,Aquatics
Decathlon Athletics,Athletics
0.5-1T Sailing,Sailing
Hockey Hockey,Hockey
Trap (125 Targets) Shooting,Shooting
69 - 76KG Wrestling,Wrestling
85 - 97KG Wrestling,Wrestling
Pommel Horse Gymnastics,Gymnastics
+ 82.5KG One-Two Hand 5 Events (Heavyweight) Weightlifting,Weightlifting
63.5 - 71.67KG (Middleweight) Boxing,Boxing
Mixed Doubles Indoor Tennis,Tennis
400M Athletics,Athletics
Au Cordon Doré 33M Archery,Archery
Eight With Coxswain (8+) Rowing,Rowing
63KG Weightlifting,Weightlifting
Synchronized Diving 10M Platform Aquatics,Aquatics
85KG Weightlifting,Weightlifting
Combined 4 Events Gymnastics,Gymnastics
4X100M Relay Athletics,Athletics
48 - 55KG Wrestling,Wrestling
300M Free Rifle 3 Positions (3X40 Shots) Shooting,Shooting
- 49 KG Taekwondo,Taekwondo
78 - 86KG (Middleweight) Judo,Judo
- 48KG (Light-Flyweight) Boxing,Boxing
8M Sailing,Sailing
Plain High Diving Aquatics,Aquatics
High Jump Standing Athletics,Athletics
Coxless Pair (2-) Rowing,Rowing
Individual Cycling,Cycling
50M Army Pistol Team Shooting,Shooting
62 - 67.5KG (Lightweight) Wrestling,Wrestling
90 - 100KG Total (First-Heavyweight) Weightlifting,Weightlifting
Elliott 6M Sailing,Sailing
91 - 99KG Total (First-Heavyweight) Weightlifting,Weightlifting
54 - 57KG (Featherweight) Boxing,Boxing
K-1 (Kayak Single) Canoe / Kayak,Canoe / Kayak
300M Free Rifle Prone Team Shooting,Shooting
63 - 67KG (Lightweight) Wrestling,Wrestling
Rings Gymnastics,Gymnastics
51 - 54KG (Bantamweight) Boxing,Boxing
62 - 67KG (Welterweight) Boxing,Boxing
59 - 64KG Total (Featherweight) Weightlifting,Weightlifting
Individual Modern Pentathlon,Modern Pentathlon
77KG Weightlifting,Weightlifting
Moving Bird Target 28M Teams Archery,Archery
K-1 200M Canoe,Canoe
Individual Time Trial Cycling,Cycling
12-Hour Race Cycling,Cycling
3000M Athletics,Athletics
Moving Bird Target 28M Archery,Archery
K-1 4X500M Canoe / Kayak,Canoe / Kayak
Coxless Pair 2- Rowing,Rowing
Wg 60 KG Wrestling,Wrestling
Finn Sailing,Sailing
1/2 Mile (804.7M) Cycling,Cycling
60 - 65KG (Half-Lightweight) Judo,Judo
4X100M Medley Relay Aquatics,Aquatics
Discus Throw Athletics,Athletics
Board (Lechner) Sailing,Sailing
400 600 800M Free Rifle Team Shooting,Shooting
56.7 - 61.24KG (Lightweight) Boxing,Boxing
Individual Jeu de paume,Jeu de paume
Football Football,Football
Long Jump Standing Athletics,Athletics
200M Freestyle Aquatics,Aquatics
49 - 57 KG Taekwondo,Taekwondo
61 - 66KG (Lightweight) Wrestling,Wrestling
+ 67 KG Taekwondo,Taekwondo
Cross Country Individual Athletics,Athletics
Wg 74 KG Wrestling,Wrestling
6M Sailing,Sailing
Ice Hockey Ice Hockey,Ice Hockey
Team Table Tennis,Table Tennis
Tornado - Multihull Sailing,Sailing
+ 100KG (Heavyweight) Judo,Judo
56LB Weight Throw (25.4KG) Athletics,Athletics
+ 87KG (Super Heavyweight) Wrestling,Wrestling
100M Freestyle Aquatics,Aquatics
Laser Radial Sailing,Sailing
+75KG Weightlifting,Weightlifting
Double Trap (120 Targets) Shooting,Shooting
1KM Time Trial Cycling,Cycling
Beam Gymnastics,Gymnastics
70 - 78KG (Welterweight) Wrestling,Wrestling
Keirin Cycling,Cycling
100M Running Deer Single Shots Shooting,Shooting
Wf 84 KG Wrestling,Wrestling
49Er - Skiff Sailing,Sailing
52 - 56KG (Lightweight) Judo,Judo
Team Sprint Cycling,Cycling
Army Rifle 200M Shooting,Shooting
61.23 - 65.77KG (Lightweight) Wrestling,Wrestling
70 - 78KG Judo,Judo
C-1 1000M Canoe,Canoe
50M Pistol Shooting,Shooting
67.5 - 75KG One-Two Hand 3 Events (Middleweight) Weightlifting,Weightlifting
52.62 - 57.15KG (Featherweight) Boxing,Boxing
Hammer Throw Athletics,Athletics
25Y Small Bore Rifle Moving Target Shooting,Shooting
C-1 500M (Canoe Single) Canoe / Kayak,Canoe / Kayak
Individual Roque,Roque
200M Backstroke Aquatics,Aquatics
4X400M Relay Athletics,Athletics
Laser Radial - One Person Dinghy Sailing,Sailing
Individual All-Around Gymnastics,Gymnastics
100M Athletics,Athletics
3200M Steeplechase Athletics,Athletics
12 Foot Dinghy Sailing,Sailing
20KM Race Walk Athletics,Athletics
63.5 - 67KG (Welterweight) Boxing,Boxing
+ 80KG (Heavyweight) Boxing,Boxing
67.5 - 75KG One-Two Hand 5 Events (Middleweight) Weightlifting,Weightlifting
57 - 67 KG Taekwondo,Taekwondo
Wg 84 KG Wrestling,Wrestling
K-4 500M (Kayak Four) Canoe / Kayak,Canoe / Kayak
Quadruple Sculls Rowing,Rowing
86 - 95KG (Half-Heavyweight) Judo,Judo
+ 108KG Total (Super Heavyweight) Weightlifting,Weightlifting
Individual Equestrian,Equestrian
Discus Throw Both Hands Athletics,Athletics
800M Athletics,Athletics
Individual Triathlon,Triathlon
Triple Jump Standing Athletics,Athletics
100M Running Deer Double Shots Shooting,Shooting
+ 105KG Weightlifting,Weightlifting
Team Time Trial Cycling,Cycling
Wg 55 KG Wrestling,Wrestling
8M Class C Water Motorsports,Water Motorsports
56KG Weightlifting,Weightlifting
52KG Boxing,Boxing
High Jump Equestrian,Equestrian
+ 80 KG Taekwondo,Taekwondo
Board (Division Ii) Sailing,Sailing
73 - 93KG (Light-Heavyweight) Wrestling,Wrestling
200M Breaststroke Aquatics,Aquatics
60 - 67.5KG Total (Lightweight) Weightlifting,Weightlifting
C-2 (Canoe Double) Canoe / Kayak,Canoe / Kayak
- 47.63KG (Flyweight) Boxing,Boxing
400M Individual Medley Aquatics,Aquatics
Cricket Cricket,Cricket
69 - 75 KG Boxing,Boxing
Wf 60 KG Wrestling,Wrestling
1000Y Free Rifle Prone Shooting,Shooting
Points Race Cycling,Cycling
50+100Y Small Bore Rifle Team Shooting,Shooting
+ 75KG Weightlifting,Weightlifting
Pair Without Coxswain (2-) Rowing,Rowing
60 - 66KG Judo,Judo
+ 91KG (Super Heavyweight) Boxing,Boxing
10KM Aquatics,Aquatics
Fleet/Match Race Keelboat Open (Soling) Sailing,Sailing
+ 82KG (Super Heavyweight) Wrestling,Wrestling
Wf 96 KG Wrestling,Wrestling
Wf 63 KG Wrestling,Wrestling
3500M Walk Athletics,Athletics
Skeet (75 Targets) Shooting,Shooting
Open Event Wrestling,Wrestling
Team Pursuit (4000M) Cycling,Cycling
75 - 82KG (Light-Heavyweight) Wrestling,Wrestling
Singles Table Tennis,Table Tennis
- 48 KG Judo,Judo
1 Mile (1609.3M) Cycling,Cycling
84 - 96KG Wrestling,Wrestling
72.57 - 79.38KG (Light-Heavyweight) Boxing,Boxing
12 Foot Dinghy Individual Sailing,Sailing
Javelin Throw Both Hands Athletics,Athletics
50M Rifle Prone Shooting,Shooting
470 - Two Person Dinghy Sailing,Sailing
73 - 80KG (Light-Heavyweight) Boxing,Boxing
Four-Oared Shell With Coxswain (4-) Rowing,Rowing
54 - 60.3KG (Featherweight) Wrestling,Wrestling
50Y Freestyle (45.72M) Aquatics,Aquatics
Double York Round (100Y - 80Y - 60Y) Archery,Archery
Sidehorse Vault Gymnastics,Gymnastics
66 - 73KG (Lightweight) Judo,Judo
Lightweight Double Sculls (2X) Rowing,Rowing
- 60KG Total (Featherweight) Weightlifting,Weightlifting
6M (Rating 1907) Sailing,Sailing
110M Hurdles Athletics,Athletics
C-1 200M Canoe,Canoe
+ 71.67KG (Heavyweight) Boxing,Boxing
K-2 1000M (Kayak Double) Canoe / Kayak,Canoe / Kayak
61 - 66KG (Middleweight) Judo,Judo
Wg 66 KG Wrestling,Wrestling
3000M Steeple Athletics,Athletics
81 - 90KG (Middleweight) Judo,Judo
Team Equestrian,Equestrian
50KM Cycling,Cycling
Individual Archery,Archery
71 - 78KG (Half-Middleweight) Judo,Judo
Team Golf,Golf
50M Rifle 3 Positions Shooting,Shooting
100M Freestyle For Sailors Aquatics,Aquatics
4X100M Medley Aquatics,Aquatics
Épée Amateurs And Masters Fencing,Fencing
8M (Rating 1919) Sailing,Sailing
53KG Weightlifting,Weightlifting
67.5 - 75KG (Middleweight) Wrestling,Wrestling
+ 97KG (Super Heavyweight) Wrestling,Wrestling
Sur La Perche À La Pyramide Archery,Archery
18 Foot Dinghy Sailing,Sailing
Synchronized 10M Aquatics,Aquatics
Team Archery,Archery
47.63 - 52.16KG (Bantamweight) Boxing,Boxing
Rugby Rugby,Rugby
57.15 - 61.24KG (Lightweight) Boxing,Boxing
Single-Handed Dinghy (Europe) Sailing,Sailing
12M (Rating 1907) Sailing,Sailing
90 - 100KG (Heavyweight) Wrestling,Wrestling
65.77 - 71.67KG (Welterweight) Wrestling,Wrestling
5000M Cycling,Cycling
+ 93KG (Super Heavyweight) Wrestling,Wrestling
Board (Windglider) Sailing,Sailing
+ 81KG (Heavyweight) Boxing,Boxing
12M Sailing,Sailing
67.5 - 75KG Total (Middleweight) Weightlifting,Weightlifting
50KM Walk Athletics,Athletics
52.16 - 56.7KG (Featherweight) Boxing,Boxing
- 60KG (Featherweight) Wrestling,Wrestling
Shot Put Both Hands Athletics,Athletics
58KG Weightlifting,Weightlifting
54 - 59KG Total (Bantamweight) Weightlifting,Weightlifting
100KM Cycling,Cycling
600M Free Rifle Individual Shooting,Shooting
Cross-Country Cycling,Cycling
Teams Fita Round Archery,Archery
67 - 73KG (Middleweight) Boxing,Boxing
Firefly Class Sailing,Sailing
10M Air Rifle Shooting,Shooting
1500M Freestyle Aquatics,Aquatics
Parallel Bars Gymnastics,Gymnastics
+ 100KG (Super Heavyweight) Wrestling,Wrestling
One Lap (660Y) Sprint Cycling,Cycling
Rifle Team Shooting,Shooting
All-Around Dumbbell Contest Weightlifting,Weightlifting
Olympic Sprint Cycling,Cycling
C-1 (Canoe Single) Canoe / Kayak,Canoe / Kayak
Marathon 10KM Aquatics,Aquatics
10M (Rating 1919) Sailing,Sailing
Individual Road Race Cycling,Cycling
Individual 1 Ball Croquet,Croquet
56 - 61KG (Half-Middleweight) Judo,Judo
Skeet Shooting,Shooting
57 - 60KG (Lightweight) Boxing,Boxing
58 - 62KG (Lightweight) Boxing,Boxing
Trap (75 Targets) Shooting,Shooting
