20969,Melbourne / Stockholm 1956,TCH
7550,Paris 1924,GBR
10308,Berlin 1936,GER
8584,Munich 1972,USA
1222,London 2012,USA
11177,Los Angeles 1984,GBR
11606,Rome 1960,URS
3061,Mexico 1968,NED
13042,Rome 1960,USA
17489,Helsinki 1952,SWE
17317,Los Angeles 1984,FRG
20557,Seoul 1988,URS
5700,London 2012,SWE
15164,London 1908,HUN
9792,Athens 2004,ITA
13374,London 2012,USA
5062,Antwerp 1920,NOR
15515,Munich 1972,USA
10634,St Louis 1904,USA
12546,London 1948,USA
4903,Antwerp 1920,GBR
7776,Beijing 2008,FRA
19697,Seoul 1988,FRG
19292,Beijing 2008,MEX
16169,Moscow 1980,URS
11533,Athens 2004,ARG
1605,Moscow 1980,URS
15688,Sydney 2000,AUS
14138,Beijing 2008,SRB
18944,Tokyo 1964,USA
1832,Moscow 1980,URS
1086,Montreal 1976,USA
21489,Los Angeles 1984,ROU
5129,Munich 1972,FRG
15620,Moscow 1980,ROU
8025,Melbourne / Stockholm 1956,GBR
11443,Sydney 2000,KOR
15677,Sydney 2000,ROU
531,Tokyo 1964,JPN
20716,Seoul 1988,NED
8343,London 2012,TTO
7084,Rome 1960,BRA
18201,Seoul 1988,GDR
7793,Mexico 1968,USA
3014,Barcelona 1992,NED
6700,Montreal 1976,ROU
10427,Beijing 2008,BAH
21219,London 1908,GBR
9050,London 1908,GBR
21159,Montreal 1976,YUG
10084,Seoul 1988,KEN
8793,Montreal 1976,FRA
19036,Montreal 1976,FRA
10138,Antwerp 1920,NOR
10003,Beijing 2008,NOR
1651,Los Angeles 1984,YUG
9089,Atlanta 1996,ROU
15891,Sydney 2000,USA
1223,Rome 1960,POL
8611,Los Angeles 1984,FRG
804,Rome 1960,EUA
3830,Athens 2004,HUN
1608,Seoul 1988,URS
5955,Mexico 1968,USA
4673,Rome 1960,EUA
10073,Montreal 1976,JPN
21755,Paris 1924,USA
3307,Stockholm 1912,SWE
13521,Athens 2004,ROU
6039,Tokyo 1964,EUA
15864,Antwerp 1920,BEL
17560,London 1908,GBR
21495,London 2012,ITA
2221,Stockholm 1912,USA
3161,Los Angeles 1984,USA
10062,Moscow 1980,CUB
7748,Athens 2004,NED
5304,Beijing 2008,USA
20532,Athens 2004,UKR
6176,London 2012,ARG
2480,Los Angeles 1932,USA
17905,Seoul 1988,FRG
5191,Beijing 2008,USA
19600,London 1948,POR
8869,Stockholm 1912,SWE
12940,Stockholm 1912,AUT
22595,Los Angeles 1984,FRG
14291,Beijing 2008,BRA
20341,London 1948,USA
20637,Barcelona 1992,SWE
8744,Athens 2004,RUS
2410,Athens 2004,USA
16602,Amsterdam 1928,FRA
21344,London 1948,FIN
9936,London 1948,FIN
17267,Berlin 1936,ITA
11380,London 2012,ARG
20623,Berlin 1936,NED
16300,Amsterdam 1928,ITA
19294,Melbourne / Stockholm 1956,URS
4046,Sydney 2000,USA
22030,Sydney 2000,FRA
22266,Atlanta 1996,GER
15356,Mexico 1968,AUS
17240,Athens 2004,CHN
1402,Montreal 1976,POL
4586,Beijing 2008,GER
6799,London 2012,GER
7554,Athens 2004,HUN
12526,Barcelona 1992,USA
7238,Antwerp 1920,FRA
259,Paris 1900,FRA
13776,Antwerp 1920,DEN
7704,Munich 1972,GDR
15997,Los Angeles 1984,THA
3534,Munich 1972,HUN
12024,Barcelona 1992,GER
8006,Mexico 1968,HUN
9512,Barcelona 1992,EUN
16724,Amsterdam 1928,IND
18794,Los Angeles 1984,ESP
20740,Atlanta 1996,KOR
3523,Sydney 2000,UKR
8902,London 1908,CAN
19305,Tokyo 1964,USA
22237,Munich 1972,POL
6828,Munich 1972,URS
22029,Atlanta 1996,CZE
10270,Athens 2004,GER
4834,Atlanta 1996,NZL
4267,Moscow 1980,URS
1515,Beijing 2008,USA
1490,Rome 1960,IND
1103,Melbourne / Stockholm 1956,PAK
17654,Montreal 1976,URS
22127,Mexico 1968,POL
1857,Montreal 1976,ROU
13218,Sydney 2000,ARG
5420,London 1948,FRA
588,Sydney 2000,ESP
528,St Louis 1904,USA
19893,Antwerp 1920,SWE
21084,Beijing 2008,USA
321,London 1908,GBR
18733,Paris 1924,USA
5777,Antwerp 1920,ITA
6564,Paris 1924,USA
1651,Moscow 1980,YUG
10109,Athens 1896,USA
19365,Sydney 2000,USA
8743,London 2012,BRA
2106,Sydney 2000,KOR
3634,Los Angeles 1984,YUG
15165,Sydney 2000,NED
4352,Melbourne / Stockholm 1956,IND
16709,Stockholm 1912,GBR
12697,Munich 1972,CUB
22618,Athens 2004,IND
10865,Helsinki 1952,FRA
1953,Sydney 2000,RUS
5838,Moscow 1980,URS
4014,Atlanta 1996,AUS
18016,Beijing 2008,USA
16261,Moscow 1980,PRK
11991,Athens 2004,RUS
21452,London 2012,ESP
6952,Los Angeles 1984,FRG
17195,Los Angeles 1984,FRG
9529,Paris 1900,SUI
8942,Tokyo 1964,JPN
4009,Paris 1924,ROU
14076,Los Angeles 1932,IND
22042,Athens 2004,IRI
18190,London 2012,IRI
10973,Tokyo 1964,BRA
20484,Berlin 1936,NOR
3879,Moscow 1980,ITA
3857,Antwerp 1920,BEL
15485,Atlanta 1996,CHN
19106,Beijing 2008,AUS
19803,Beijing 2008,USA
4240,Paris 1924,USA
3456,London 2012,NZL
2307,Antwerp 1920,FRA
1262,Antwerp 1920,NOR
5559,Sydney 2000,BRA
1349,Beijing 2008,MDA
2786,Atlanta 1996,NED
11986,London 2012,GBR
1885,Berlin 1936,SUI
10568,Helsinki 1952,YUG
3718,Barcelona 1992,KOR
13406,Athens 2004,PAR
3861,Helsinki 1952,SUI
2679,London 2012,CZE
21592,Mexico 1968,HUN
9656,Atlanta 1996,CHN
7724,Beijing 2008,ARG
22255,Tokyo 1964,URS
7506,Mexico 1968,HUN
12129,Rome 1960,URS
22367,Athens 2004,CUB
6151,Beijing 2008,SRB
21317,London 2012,TUN
14708,Barcelona 1992,USA
190,Seoul 1988,BUL
12855,Sydney 2000,USA
20473,Atlanta 1996,CHN
5265,Montreal 1976,GDR
1635,London 2012,GER
863,Antwerp 1920,ITA
9305,Beijing 2008,NED
21416,Sydney 2000,HUN
21157,Moscow 1980,URS
671,Moscow 1980,URS
325,London 2012,KOR
15296,Amsterdam 1928,SWE
19529,Rome 1960,URS
12621,Antwerp 1920,FRA
5577,Munich 1972,USA
7354,London 1908,CAN
19917,Berlin 1936,AUT
5746,Melbourne / Stockholm 1956,EUA
4254,Helsinki 1952,HUN
3011,Moscow 1980,BUL
10301,Atlanta 1996,HUN
870,Montreal 1976,HUN
19321,Munich 1972,ROU
1635,Beijing 2008,GER
7372,Beijing 2008,THA
449,Los Angeles 1984,FRA
10041,Melbourne / Stockholm 1956,USA
3571,Melbourne / Stockholm 1956,USA
12544,London 1908,ANZ
3529,Rome 1960,EUA
6696,London 2012,TTO
12100,Beijing 2008,GBR
19821,Stockholm 1912,DEN
22720,Athens 2004,ITA
5902,Helsinki 1952,USA
2366,Berlin 1936,HUN
5545,Mexico 1968,URS
11277,London 2012,JAM
22378,London 1908,SWE
11564,Montreal 1976,URS
19967,Berlin 1936,CAN
1848,Los Angeles 1932,SWE
10585,Stockholm 1912,SWE
2686,Paris 1924,EST
10393,Rome 1960,SWE
20672,Stockholm 1912,NOR
11935,Moscow 1980,HUN
19899,Antwerp 1920,NOR
3503,Atlanta 1996,ESP
14299,Paris 1924,BEL
19228,Atlanta 1996,BRA
20127,Sydney 2000,KOR
2485,Athens 2004,GBR
8005,Berlin 1936,USA
7526,Mexico 1968,USA
13061,Athens 2004,BRA
1735,Munich 1972,URS
10832,Atlanta 1996,JPN
13414,Munich 1972,USA
12615,Melbourne / Stockholm 1956,FIN
21692,Sydney 2000,RUS
20907,Athens 2004,AUS
12611,Atlanta 1996,USA
2639,Antwerp 1920,BEL
16503,Sydney 2000,GER
21470,Munich 1972,USA
8632,Amsterdam 1928,FRA
3977,Tokyo 1964,JPN
11118,Munich 1972,FRG
15328,London 1908,SWE
8684,Sydney 2000,JAM
17693,Beijing 2008,SVK
13596,Atlanta 1996,UKR
8494,Paris 1924,GBR
4598,Seoul 1988,USA
14086,Mexico 1968,POL
13758,Sydney 2000,ITA
14070,Moscow 1980,YUG
18478,Antwerp 1920,BEL
9669,St Louis 1904,USA
3620,Los Angeles 1984,AUT
3859,Barcelona 1992,AUS
15055,Moscow 1980,FRA
18717,Moscow 1980,URS
10621,Mexico 1968,URS
15098,Atlanta 1996,AUS
19553,Athens 2004,RUS
18445,Seoul 1988,FRG
22395,St Louis 1904,USA
7005,Athens 2004,AUS
2888,Seoul 1988,GDR
336,Paris 1924,SWE
13012,Athens 2004,GER
20663,Los Angeles 1932,USA
1153,Sydney 2000,GER
10196,Montreal 1976,GDR
7394,Seoul 1988,BUL
5043,London 2012,UKR
